,Country,Cases,Deaths,Recovered,week_number,month,year
2,Argentina,2485,60,2425,28,7,2009
18,Canada,7983,25,7958,28,7,2009
21,Chile,7376,14,7362,28,7,2009
71,Mexico,10262,119,10143,28,7,2009
115,USA,33921,170,33751,28,7,2009
124,Argentina,1587,26,1561,27,7,2009
140,Canada,7983,25,7958,27,7,2009
143,Chile,7376,14,7362,27,7,2009
189,Mexico,10262,119,10143,27,7,2009
231,USA,33902,170,33732,27,7,2009
240,Argentina,1587,26,1561,27,7,2009
255,Canada,7983,25,7958,27,7,2009
258,Chile,6211,12,6199,27,7,2009
303,Mexico,8680,116,8564,27,7,2009
343,USA,27717,127,27590,27,7,2009
352,Argentina,1488,23,1465,27,6,2009
367,Canada,7775,21,7754,27,6,2009
370,Chile,5186,7,5179,27,6,2009
413,Mexico,8279,116,8163,27,6,2009
452,USA,27717,127,27590,27,6,2009
461,Argentina,1391,21,1370,26,6,2009
476,Canada,6732,19,6713,26,6,2009
479,Chile,5186,7,5179,26,6,2009
520,Mexico,8279,116,8163,26,6,2009
557,USA,21449,87,21362,26,6,2009
566,Argentina,1213,7,1206,26,6,2009
581,Canada,6457,15,6442,26,6,2009
584,Chile,4315,4,4311,26,6,2009
623,Mexico,7847,115,7732,26,6,2009
659,USA,21449,87,21362,26,6,2009
667,Argentina,1010,7,1003,26,6,2009
681,Canada,5710,13,5697,26,6,2009
683,Chile,4315,4,4311,26,6,2009
719,Mexico,7624,113,7511,26,6,2009
753,USA,21449,87,21362,26,6,2009
759,Argentina,918,4,914,25,6,2009
771,Canada,4905,12,4893,25,6,2009
773,Chile,3125,2,3123,25,6,2009
808,Mexico,7624,113,7511,25,6,2009
841,USA,17855,44,17811,25,6,2009
847,Argentina,733,1,732,25,6,2009
859,Canada,4049,7,4042,25,6,2009
861,Chile,2335,2,2333,25,6,2009
897,Mexico,6241,108,6133,25,6,2009
935,Argentina,343,0,343,25,6,2009
945,Canada,2978,4,2974,25,6,2009
947,Chile,1694,2,1692,25,6,2009
980,Mexico,6241,108,6133,25,6,2009
1006,USA,17855,45,17810,25,6,2009
1011,Argentina,343,0,343,24,6,2009
1021,Canada,2978,4,2974,24,6,2009
1023,Chile,1694,2,1692,24,6,2009
1056,Mexico,6241,108,6133,24,6,2009
1081,USA,13217,27,13190,24,6,2009
1085,Argentina,256,0,256,24,6,2009
1095,Canada,2446,4,2442,24,6,2009
1097,Chile,1694,2,1692,24,6,2009
1130,Mexico,6241,108,6133,24,6,2009
1155,USA,13217,27,13190,24,6,2009
1159,Argentina,235,0,235,24,6,2009
1169,Canada,2446,4,2442,24,6,2009
1171,Chile,1694,2,1692,24,6,2009
1204,Mexico,5717,106,5611,24,6,2009
1229,USA,13217,27,13190,24,6,2009
1233,Argentina,202,0,202,24,6,2009
1243,Canada,2115,3,2112,24,6,2009
1245,Chile,411,1,410,24,6,2009
1278,Mexico,5717,106,5611,24,6,2009
1302,USA,13217,27,13190,24,6,2009
1306,Argentina,147,0,147,23,6,2009
1316,Canada,1795,3,1792,23,6,2009
1317,Chile,369,1,368,23,6,2009
1349,Mexico,5563,103,5460,23,6,2009
1371,USA,11054,17,11037,23,6,2009
1375,Argentina,131,0,131,23,6,2009
1384,Canada,1530,2,1528,23,6,2009
1385,Chile,313,0,313,23,6,2009
1416,Mexico,5029,97,4932,23,6,2009
1437,USA,10053,17,10036,23,6,2009
1441,Argentina,100,0,100,23,6,2009
1449,Canada,1336,2,1334,23,6,2009
1450,Chile,250,0,250,23,6,2009
1479,Mexico,5029,97,4932,23,6,2009
1499,USA,8975,15,8960,23,6,2009
1503,Argentina,37,0,37,22,5,2009
1509,Canada,1118,2,1116,22,5,2009
1510,Chile,165,0,165,22,5,2009
1535,Mexico,4910,85,4825,22,5,2009
1554,USA,7927,11,7916,22,5,2009
1556,Argentina,19,0,19,22,5,2009
1562,Canada,921,1,920,22,5,2009
1563,Chile,86,0,86,22,5,2009
1586,Mexico,4541,83,4458,22,5,2009
1603,USA,6764,10,6754,22,5,2009
1604,Argentina,5,0,5,22,5,2009
1609,Canada,921,1,920,22,5,2009
1610,Chile,74,0,74,22,5,2009
1633,Mexico,4174,80,4094,22,5,2009
1649,USA,6764,10,6754,22,5,2009
1650,Argentina,2,0,2,22,5,2009
1655,Canada,805,1,804,22,5,2009
1656,Chile,44,0,44,22,5,2009
1679,Mexico,4174,80,4094,22,5,2009
1695,USA,6552,9,6543,22,5,2009
1696,Argentina,1,0,1,21,5,2009
1701,Canada,719,1,718,21,5,2009
1702,Chile,24,0,24,21,5,2009
1722,Mexico,3892,75,3817,21,5,2009
1738,USA,6552,9,6543,21,5,2009
